Year,Value,UNIT_MEASURE,SERIES
2013,4.9,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2014,5.0,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2015,4.9,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2016,5.1,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2017,4.9,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2018,4.8,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2019,4.7,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2020,4.7,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2021,4.6,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2022,5.1,Проценат,Удио незапослених који примају новчану накнаду за незапослене
2013,2.6,Проценат,SI_COV_NOEMP
2014,2.5,Проценат,SI_COV_NOEMP
2015,2.7,Проценат,SI_COV_NOEMP
2016,2.9,Проценат,SI_COV_NOEMP
2017,3.2,Проценат,SI_COV_NOEMP
2018,3.1,Проценат,SI_COV_NOEMP
2019,3.6,Проценат,SI_COV_NOEMP
2020,4.3,Проценат,SI_COV_NOEMP
2021,3.3,Проценат,SI_COV_NOEMP
2022,3.6,Проценат,SI_COV_NOEMP
2023,4.5,Проценат,SI_COV_NOEMP
