Year,Value,UNIT_MEASURE,SERIES
2013,99.99,Проценат,Удио порода уз присуство квалификованих здравствених радника
2014,99.99,Проценат,Удио порода уз присуство квалификованих здравствених радника
2015,99.97,Проценат,Удио порода уз присуство квалификованих здравствених радника
2016,99.97,Проценат,Удио порода уз присуство квалификованих здравствених радника
2017,99.96,Проценат,Удио порода уз присуство квалификованих здравствених радника
2018,99.94,Проценат,Удио порода уз присуство квалификованих здравствених радника
2019,99.95,Проценат,Удио порода уз присуство квалификованих здравствених радника
2020,99.95,Проценат,Удио порода уз присуство квалификованих здравствених радника
2021,99.95,Проценат,Удио порода уз присуство квалификованих здравствених радника
2022,99.95,Проценат,Удио порода уз присуство квалификованих здравствених радника
