Year,SERIES,UNIT_MEASURE,Value
2003,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.01854
2004,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.01524
2005,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.02697
2006,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.01969
2007,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.02521
2008,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.01842
2009,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.02106
2012,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.26533
2013,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.32132
2014,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.25725
2015,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.2186
2016,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.21594
2017,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.20048
2018,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.19485
2019,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.1926
2020,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.2061
2021,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH,Procenat,0.1928
