Year,SERIES,UNIT_MEASURE,Spol,Value
2013.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,7.31
2014.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,8.04
2015.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,8.62
2016.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,9.7
2017.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,10.49
2018.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,11.24
2019.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,12.39
2020.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,12.01
2021.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,14.33
2022.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Oba spola ili bez podjele po spolu,17.87
2013.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,7.5
2014.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,8.15
2015.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,8.74
2016.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,9.98
2017.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,10.62
2018.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,11.37
2019.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,12.48
2020.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,12.23
2021.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,14.43
2022.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Muškarci,18.29
2013.0,Procenat djece uzrasta 0-6 godina obuhvaćene predškolskim vaspitanjem i obrazovanjem,Procenat,Žene,7.11
