Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2013.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,8.1
2014.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.9
2015.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,8.7
2016.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,8.4
2017.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.1
2018.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.3
2019.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,10.3
2020.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,7.8
2021.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.7
2022.0,Smrtnost ispod pet godina (broj),Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,7.1
,,,,,
