Year,SERIES,UNIT_MEASURE,Spol,Value
2013.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,7.8
2014.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,7.6
2015.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,7.7
2016.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,8.1
2017.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,9.2
2018.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,9.0
2019.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,7.5
2020.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,7.0
2021.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,8.2
2022.0,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,7.0
2013.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.9
2014.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.4
2015.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.6
2016.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.5
2017.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,13.7
2018.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,13.6
2019.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.2
2020.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.3
2021.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,13.1
2022.0,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,11.3
2013.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,3.8
2014.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,3.9
2015.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,3.9
2016.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.9
2017.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.8
2018.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.5
2019.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,3.9
2020.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,3.0
2021.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,3.4
2022.0,Stopa samoubistvima,Na 100 000 stanovnika,Žene,2.8
,,,,
