Year,SERIES,UNIT_MEASURE,Value
2013,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.99
2014,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.99
2015,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.97
2016,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.97
2017,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.96
2018,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.94
2019,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.95
2020,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.95
2021,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.95
2022,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.95
