Year,Value,UNIT_MEASURE,SERIES
2013,99.99,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2014,99.99,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2015,99.97,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2016,99.97,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2017,99.96,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2018,99.94,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2019,99.95,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2020,99.95,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2021,99.95,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2022,99.95,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
