Year,Value,UNIT_MEASURE,SERIES
2013,4.9,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2014,5.0,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2015,4.9,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2016,5.1,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2017,4.9,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2018,4.8,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2019,4.7,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2020,4.7,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2021,4.6,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2022,5.1,Procenat,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji
2013,2.6,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2014,2.5,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2015,2.7,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2016,2.9,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2017,3.2,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2018,3.1,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2019,3.6,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2020,4.3,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2021,3.3,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2022,3.6,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2023,4.5,Procenat,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
