Year,Value,UNIT_MEASURE,SERIES
2013.0,0.3,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2014.0,0.8,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2015.0,0.6,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2016.0,0.2,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2017.0,0.8,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2018.0,0.9,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2019.0,0.7,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2020.0,0.8,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2021.0,0.4,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
2022.0,0.4,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg)
,,,
