Year,Value,UNIT_MEASURE,SERIES
2013,99.99,Percent,Proportion of births attended by skilled health personnel
2014,99.99,Percent,Proportion of births attended by skilled health personnel
2015,99.97,Percent,Proportion of births attended by skilled health personnel
2016,99.97,Percent,Proportion of births attended by skilled health personnel
2017,99.96,Percent,Proportion of births attended by skilled health personnel
2018,99.94,Percent,Proportion of births attended by skilled health personnel
2019,99.95,Percent,Proportion of births attended by skilled health personnel
2020,99.95,Percent,Proportion of births attended by skilled health personnel
2021,99.95,Percent,Proportion of births attended by skilled health personnel
2022,99.95,Percent,Proportion of births attended by skilled health personnel
