Year,Value,UNIT_MEASURE,SERIES
2013,4.9,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2014,5.0,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2015,4.9,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2016,5.1,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2017,4.9,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2018,4.8,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2019,4.7,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2020,4.7,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2021,4.6,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2022,5.1,Percent,Proportion of unemployed persons receiving unemployment cash benefit
2013,2.6,Percent,SI_COV_NOEMP
2014,2.5,Percent,SI_COV_NOEMP
2015,2.7,Percent,SI_COV_NOEMP
2016,2.9,Percent,SI_COV_NOEMP
2017,3.2,Percent,SI_COV_NOEMP
2018,3.1,Percent,SI_COV_NOEMP
2019,3.6,Percent,SI_COV_NOEMP
2020,4.3,Percent,SI_COV_NOEMP
2021,3.3,Percent,SI_COV_NOEMP
2022,3.6,Percent,SI_COV_NOEMP
2023,4.5,Percent,SI_COV_NOEMP
