Year,Value,UNIT_MEASURE,SERIES
2013.0,308.1,Per million population,Researchers (in full-time equivalent) per million inhabitants
2014.0,571.6,Per million population,Researchers (in full-time equivalent) per million inhabitants
2015.0,812.7,Per million population,Researchers (in full-time equivalent) per million inhabitants
2016.0,1093.1,Per million population,Researchers (in full-time equivalent) per million inhabitants
2017.0,1229.1,Per million population,Researchers (in full-time equivalent) per million inhabitants
2018.0,1224.3,Per million population,Researchers (in full-time equivalent) per million inhabitants
2019.0,1058.9,Per million population,Researchers (in full-time equivalent) per million inhabitants
2020.0,1093.7,Per million population,Researchers (in full-time equivalent) per million inhabitants
2021.0,958.6,Per million population,Researchers (in full-time equivalent) per million inhabitants
2022.0,1179.5,Per million population,Researchers (in full-time equivalent) per million inhabitants
,,,
