Year,Value,UNIT_MEASURE,SERIES
2013.0,4.2,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2014.0,3.7,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2015.0,4.3,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2016.0,3.1,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2017.0,2.3,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2018.0,2.2,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2019.0,2.4,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2020.0,1.7,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2021.0,1.0,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2022.0,1.4,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
,,,
