Year,SERIES,UNIT_MEASURE,SEX,Value
2013,SE_PRE_PARTN0_6,PT,_T,7.31
2014,SE_PRE_PARTN0_6,PT,_T,8.04
2015,SE_PRE_PARTN0_6,PT,_T,8.62
2016,SE_PRE_PARTN0_6,PT,_T,9.70
2017,SE_PRE_PARTN0_6,PT,_T,10.49
2018,SE_PRE_PARTN0_6,PT,_T,11.24
2019,SE_PRE_PARTN0_6,PT,_T,12.39
2020,SE_PRE_PARTN0_6,PT,_T,12.01
2021,SE_PRE_PARTN0_6,PT,_T,14.33
2022,SE_PRE_PARTN0_6,PT,_T,17.87
2013,SE_PRE_PARTN0_6,PT,M,7.50
2014,SE_PRE_PARTN0_6,PT,M,8.15
2015,SE_PRE_PARTN0_6,PT,M,8.74
2016,SE_PRE_PARTN0_6,PT,M,9.98
2017,SE_PRE_PARTN0_6,PT,M,10.62
2018,SE_PRE_PARTN0_6,PT,M,11.37
2019,SE_PRE_PARTN0_6,PT,M,12.48
2020,SE_PRE_PARTN0_6,PT,M,12.23
2021,SE_PRE_PARTN0_6,PT,M,14.43
2022,SE_PRE_PARTN0_6,PT,M,18.29
2013,SE_PRE_PARTN0_6,PT,F,7.11
2014,SE_PRE_PARTN0_6,PT,F,7.93
2015,SE_PRE_PARTN0_6,PT,F,8.49
2016,SE_PRE_PARTN0_6,PT,F,9.40
2017,SE_PRE_PARTN0_6,PT,F,10.35
2018,SE_PRE_PARTN0_6,PT,F,11.10
2019,SE_PRE_PARTN0_6,PT,F,12.30
2020,SE_PRE_PARTN0_6,PT,F,11.78
2021,SE_PRE_PARTN0_6,PT,F,14.23
2022,SE_PRE_PARTN0_6,PT,F,17.43
2013,SE_PRE_PARTN3_6,PT,_T,13.71
2014,SE_PRE_PARTN3_6,PT,_T,14.33
2015,SE_PRE_PARTN3_6,PT,_T,15.40
2016,SE_PRE_PARTN3_6,PT,_T,16.95
2017,SE_PRE_PARTN3_6,PT,_T,18.24
2018,SE_PRE_PARTN3_6,PT,_T,19.69
2019,SE_PRE_PARTN3_6,PT,_T,21.66
2020,SE_PRE_PARTN3_6,PT,_T,21.16
2021,SE_PRE_PARTN3_6,PT,_T,24.29
2022,SE_PRE_PARTN3_6,PT,_T,22.55
2013,SE_PRE_PARTN3_6,PT,M,14.11
2014,SE_PRE_PARTN3_6,PT,M,14.61
2015,SE_PRE_PARTN3_6,PT,M,15.54
2016,SE_PRE_PARTN3_6,PT,M,17.38
2017,SE_PRE_PARTN3_6,PT,M,18.50
2018,SE_PRE_PARTN3_6,PT,M,19.89
2019,SE_PRE_PARTN3_6,PT,M,21.89
2020,SE_PRE_PARTN3_6,PT,M,21.62
2021,SE_PRE_PARTN3_6,PT,M,24.40
2022,SE_PRE_PARTN3_6,PT,M,23.00
2013,SE_PRE_PARTN3_6,PT,F,13.29
2014,SE_PRE_PARTN3_6,PT,F,14.03
2015,SE_PRE_PARTN3_6,PT,F,15.26
2016,SE_PRE_PARTN3_6,PT,F,16.48
2017,SE_PRE_PARTN3_6,PT,F,17.98
2018,SE_PRE_PARTN3_6,PT,F,19.47
2019,SE_PRE_PARTN3_6,PT,F,21.43
2020,SE_PRE_PARTN3_6,PT,F,20.67
2021,SE_PRE_PARTN3_6,PT,F,24.17
2022,SE_PRE_PARTN3_6,PT,F,22.08
,,,,
