Year,SERIES,UNIT_MEASURE,SEX,Value
2013,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.1
2014,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.0
2015,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.0
2016,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.0
2017,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.0
2018,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.1
2019,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.1
2020,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.0
2021,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.0
2022,SH_HIV_INCD,PER_1000_UNINFECTED_POP,_T,0.2
