Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2013.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,8.1
2014.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.9
2015.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,8.7
2016.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,8.4
2017.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,9.1
2018.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,9.3
2019.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,10.3
2020.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,7.8
2021.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.7
2022.0,Смртност испод пет огдина (број),На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,7.1
,,,,,
