Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2013.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,119.0
2014.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,118.1
2015.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,125.2
2016.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,122.3
2017.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,124.3
2018.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,118.8
2019.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,122.8
2020.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,110.8
2021.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,112.3
2022.0,SH_DTH_NCOM1,На 100.000 становника,<65Y,Оба пола или без подјеле по полу,105.5
2013.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,149.2
2014.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,152.4
2015.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,159.9
2016.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,156.8
2017.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,153.9
2018.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,152.1
2019.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,157.5
2020.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,141.3
2021.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,141.7
2022.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Мушкарци,134.2
2013.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,91.2
2014.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,86.5
2015.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,92.9
2016.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,90.3
2017.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,96.9
2018.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,87.7
2019.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,90.4
2020.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,82.1
2021.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,84.8
2022.0,SH_DTH_NCOM2,На 100.000 становника,<65Y,Жене,78.6
,,,,,
,,,,,
