Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2013.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.08
2014.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.06
2015.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.06
2016.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.07
2017.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.13
2018.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.09
2019.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.02
2020.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.09
2021.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.04
2022.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,10 до 14 година,Жене,0.09
2013.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,12.03
2014.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,11.78
2015.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,12.7
2016.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,12.88
2017.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,11.39
2018.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,10.53
2019.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,9.87
2020.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,9.2
2021.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,9.14
2022.0,Стопа наталитета адолесцената (на 1.000 жена узраста 15-19 и 10-14 година),На 1.000 становника,15 до 19 година,Жене,8.23
,,,,,
