Year,SERIES,UNIT_MEASURE,Пол,Value
2013.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,7.31
2014.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,8.04
2015.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,8.62
2016.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,9.7
2017.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,10.49
2018.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,11.24
2019.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,12.39
2020.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,12.01
2021.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,14.33
2022.0,SE_PRE_PARTN0_6,Проценат,Оба пола или без подјеле по полу,17.87
2013.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,7.5
2014.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,8.15
2015.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,8.74
2016.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,9.98
2017.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,10.62
2018.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,11.37
2019.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,12.48
2020.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,12.23
2021.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,14.43
2022.0,SE_PRE_PARTN0_6,Проценат,Мушкарци,18.29
2013.0,SE_PRE_PARTN0_6,Проценат,Жене,7.11
2014.0,SE_PRE_PARTN0_6,Проценат,Жене,7.93
2015.0,SE_PRE_PARTN0_6,Проценат,Жене,8.49
2016.0,SE_PRE_PARTN0_6,Проценат,Жене,9.4
2017.0,SE_PRE_PARTN0_6,Проценат,Жене,10.35
2018.0,SE_PRE_PARTN0_6,Проценат,Жене,11.1
2019.0,SE_PRE_PARTN0_6,Проценат,Жене,12.3
2020.0,SE_PRE_PARTN0_6,Проценат,Жене,11.78
2021.0,SE_PRE_PARTN0_6,Проценат,Жене,14.23
2022.0,SE_PRE_PARTN0_6,Проценат,Жене,17.43
2013.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,13.71
2014.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,14.33
2015.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,15.4
2016.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,16.95
2017.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,18.24
2018.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,19.69
2019.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,21.66
2020.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,21.16
2021.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,24.29
2022.0,SE_PRE_PARTN3_6,Проценат,Оба пола или без подјеле по полу,22.55
2013.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,14.11
2014.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,14.61
2015.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,15.54
2016.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,17.38
2017.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,18.5
2018.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,19.89
2019.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,21.89
2020.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,21.62
2021.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,24.4
2022.0,SE_PRE_PARTN3_6,Проценат,Мушкарци,23.0
2013.0,SE_PRE_PARTN3_6,Проценат,Жене,13.29
2014.0,SE_PRE_PARTN3_6,Проценат,Жене,14.03
2015.0,SE_PRE_PARTN3_6,Проценат,Жене,15.26
2016.0,SE_PRE_PARTN3_6,Проценат,Жене,16.48
2017.0,SE_PRE_PARTN3_6,Проценат,Жене,17.98
2018.0,SE_PRE_PARTN3_6,Проценат,Жене,19.47
2019.0,SE_PRE_PARTN3_6,Проценат,Жене,21.43
2020.0,SE_PRE_PARTN3_6,Проценат,Жене,20.67
2021.0,SE_PRE_PARTN3_6,Проценат,Жене,24.17
2022.0,SE_PRE_PARTN3_6,Проценат,Жене,22.08
,,,,
