Year,SERIES,UNIT_MEASURE,Пол,Value
2013.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.41
2014.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.36
2015.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.36
2016.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.14
2017.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.41
2018.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.27
2019.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.09
2020.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.37
2021.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.51
2022.0,Стопа смртности узрокована ненамјерним тровањем,На 100.000 становника,Оба пола или без подјеле по полу,0.14
,,,,
,,,,
