Year,SERIES,UNIT_MEASURE,Value
2004.0,Удио људи који живе испод 50 посто средње вриједности прихода,Проценат,11.3
2007.0,Удио људи који живе испод 50 посто средње вриједности прихода,Проценат,9.9
2011.0,Удио људи који живе испод 50 посто средње вриједности прихода,Проценат,10.0
2015.0,Удио људи који живе испод 50 посто средње вриједности прихода,Проценат,9.8
2004.0,SI_POV_60MI,Проценат,18.3
2007.0,SI_POV_60MI,Проценат,16.3
2011.0,SI_POV_60MI,Проценат,17.2
2015.0,SI_POV_60MI,Проценат,16.0
2004.0,SI_POV_70MI,Проценат,26.1
2007.0,SI_POV_70MI,Проценат,23.8
2011.0,SI_POV_70MI,Проценат,25.2
2015.0,SI_POV_70MI,Проценат,23.6
2004.0,SI_POV_GAP,Проценат,25.0
2007.0,SI_POV_GAP,Проценат,25.2
2011.0,SI_POV_GAP,Проценат,26.6
2015.0,SI_POV_GAP,Проценат,25.8
2004.0,SI_POV_S80S20,Проценат,5.9
2007.0,SI_POV_S80S20,Проценат,5.2
2011.0,SI_POV_S80S20,Проценат,5.2
2015.0,SI_POV_S80S20,Проценат,5.2
,,,
