Year,SERIES,UNIT_MEASURE,Пол,Value
2013.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,21.0
2014.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,20.0
2015.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,26.0
2016.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,25.0
2017.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,24.0
2018.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,19.0
2019.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,22.0
2020.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,27.0
2021.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,17.0
2022.0,Број жртава убистава с предомишљајем,На 100.000 становника,Оба пола или без подјеле по полу,15.0
2013.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,14.0
2014.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,15.0
2015.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,19.0
2016.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,19.0
2017.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,20.0
2018.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,13.0
2019.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,13.0
2020.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,21.0
2021.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,12.0
2022.0,Број жртава убистава с предомишљајем,На 100.000 становника,Мушкарци,6.0
2013.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,14.0
2014.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,15.0
2015.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,19.0
2016.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,19.0
2017.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,20.0
2018.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,13.0
2019.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,13.0
2020.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,21.0
2021.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,12.0
2022.0,Број жртава убистава с предомишљајем,На 100.000 становника,Жене,6.0
2013.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,0.9
2014.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,0.9
2015.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,1.2
2016.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,1.1
2017.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,1.1
2018.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,0.9
2019.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,1.0
2020.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,1.2
2021.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,0.8
2022.0,Број жртава убистава с намјером на 100.000 становника,На 100.000 становника,Оба пола или без подјеле по полу,0.7
,,,,
,,,,
,,,,
