Year,SERIES,UNIT_MEASURE,Value
2013.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,4.2
2014.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,3.7
2015.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,4.3
2016.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,3.1
2017.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,2.3
2018.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,2.2
2019.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,2.4
2020.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,1.7
2021.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,1.0
2022.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,1.4
,,,
