Year,SERIES,UNIT_MEASURE,Пол,Value
2013.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,7.8
2014.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,7.6
2015.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,7.7
2016.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,8.1
2017.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,9.2
2018.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,9.0
2019.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,7.5
2020.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,7.0
2021.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,8.2
2022.0,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,7.0
2013.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.9
2014.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.4
2015.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.6
2016.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.5
2017.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,13.7
2018.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,13.6
2019.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.2
2020.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.3
2021.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,13.1
2022.0,Стопа самоубиствима,На 100.000 становника,Мушкарци,11.3
2013.0,Стопа самоубиствима,На 100.000 становника,Жене,3.8
2014.0,Стопа самоубиствима,На 100.000 становника,Жене,3.9
2015.0,Стопа самоубиствима,На 100.000 становника,Жене,3.9
2016.0,Стопа самоубиствима,На 100.000 становника,Жене,4.9
2017.0,Стопа самоубиствима,На 100.000 становника,Жене,4.8
2018.0,Стопа самоубиствима,На 100.000 становника,Жене,4.5
2019.0,Стопа самоубиствима,На 100.000 становника,Жене,3.9
2020.0,Стопа самоубиствима,На 100.000 становника,Жене,3.0
2021.0,Стопа самоубиствима,На 100.000 становника,Жене,3.4
2022.0,Стопа самоубиствима,На 100.000 становника,Жене,2.8
,,,,
