Year,SERIES,UNIT_MEASURE,Пол,Value
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.1
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.0
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.0
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.0
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.0
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.1
2019,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.1
2020,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.0
2021,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.0
2022,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Оба пола или без подјеле по полу,0.2
