Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2013.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,27.6
2014.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,28.4
2015.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,29.1
2016.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,25.6
2017.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,20.0
2018.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,19.2
2019.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,18.4
2020.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,17.5
2021.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,18.9
2022.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,,17.2
2013.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,27.1
2014.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,25.7
2015.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,27.1
2016.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,22.9
2017.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,19.2
2018.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,17.8
2019.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,16.3
2020.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,14.7
