Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2013.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.6
2014.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.2
2015.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.3
2016.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.1
2017.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.5
2018.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.3
2019.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.7
2020.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2021.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2022.0,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.3
2013.0,SH_DYN_MRT,,,_T,76.24
2014.0,SH_DYN_MRT,,,_T,76.68
2015.0,SH_DYN_MRT,,,_T,76.2
2016.0,SH_DYN_MRT,,,_T,76.74
2017.0,SH_DYN_MRT,,,_T,76.76
2018.0,SH_DYN_MRT,,,_T,77.25
2019.0,SH_DYN_MRT,,,_T,77.13
2020.0,SH_DYN_MRT,,,_T,75.75
2021.0,SH_DYN_MRT,,,_T,74.78
2022.0,SH_DYN_MRT,,,_T,77.42
2013.0,SH_DYN_MRT,,,M,73.9
2014.0,SH_DYN_MRT,,,M,74.36
2015.0,SH_DYN_MRT,,,M,73.97
2016.0,SH_DYN_MRT,,,M,74.57
2017.0,SH_DYN_MRT,,,M,74.5
2018.0,SH_DYN_MRT,,,M,75.14
2019.0,SH_DYN_MRT,,,M,74.93
2020.0,SH_DYN_MRT,,,M,73.15
2021.0,SH_DYN_MRT,,,M,72.38
2022.0,SH_DYN_MRT,,,M,75.19
2013.0,SH_DYN_MRT,,,F,78.48
2014.0,SH_DYN_MRT,,,F,78.89
2015.0,SH_DYN_MRT,,,F,78.34
2016.0,SH_DYN_MRT,,,F,78.83
2017.0,SH_DYN_MRT,,,F,78.94
2018.0,SH_DYN_MRT,,,F,79.27
2019.0,SH_DYN_MRT,,,F,79.25
2020.0,SH_DYN_MRT,,,F,78.35
2021.0,SH_DYN_MRT,,,F,77.18
2022.0,SH_DYN_MRT,,,F,79.58
,,,,,
