Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2013.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,119.0
2014.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,118.1
2015.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,125.2
2016.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,122.3
2017.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,124.3
2018.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,118.8
2019.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,122.8
2020.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,110.8
2021.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,112.3
2022.0,SH_DTH_NCOM1,PER_100000_POP,<65Y,_T,105.5
2013.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,149.2
2014.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,152.4
2015.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,159.9
2016.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,156.8
2017.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,153.9
2018.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,152.1
2019.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,157.5
2020.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,141.3
2021.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,141.7
2022.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,M,134.2
2013.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,91.2
2014.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,86.5
2015.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,92.9
2016.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,90.3
2017.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,96.9
2018.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,87.7
2019.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,90.4
2020.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,82.1
2021.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,84.8
2022.0,SH_DTH_NCOM2,PER_100000_POP,<65Y,F,78.6
,,,,,
,,,,,
