Year,Value,UNIT_MEASURE,SERIES
2013,4.9,PT,SI_COV_UEMP
2014,5.0,PT,SI_COV_UEMP
2015,4.9,PT,SI_COV_UEMP
2016,5.1,PT,SI_COV_UEMP
2017,4.9,PT,SI_COV_UEMP
2018,4.8,PT,SI_COV_UEMP
2019,4.7,PT,SI_COV_UEMP
2020,4.7,PT,SI_COV_UEMP
2021,4.6,PT,SI_COV_UEMP
2022,5.1,PT,SI_COV_UEMP
2013,2.6,PT,SI_COV_NOEMP
2014,2.5,PT,SI_COV_NOEMP
2015,2.7,PT,SI_COV_NOEMP
2016,2.9,PT,SI_COV_NOEMP
2017,3.2,PT,SI_COV_NOEMP
2018,3.1,PT,SI_COV_NOEMP
2019,3.6,PT,SI_COV_NOEMP
2020,4.3,PT,SI_COV_NOEMP
2021,3.3,PT,SI_COV_NOEMP
2022,3.6,PT,SI_COV_NOEMP
2023,4.5,PT,SI_COV_NOEMP
