Year,SERIES,UNIT_MEASURE,Value
2013,Proportion of births attended by skilled health personnel,Percent,99.99
2014,Proportion of births attended by skilled health personnel,Percent,99.99
2015,Proportion of births attended by skilled health personnel,Percent,99.97
2016,Proportion of births attended by skilled health personnel,Percent,99.97
2017,Proportion of births attended by skilled health personnel,Percent,99.96
2018,Proportion of births attended by skilled health personnel,Percent,99.94
2019,Proportion of births attended by skilled health personnel,Percent,99.95
2020,Proportion of births attended by skilled health personnel,Percent,99.95
2021,Proportion of births attended by skilled health personnel,Percent,99.95
2022,Proportion of births attended by skilled health personnel,Percent,99.95
