Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2013.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,119.0
2014.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,118.1
2015.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,125.2
2016.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,122.3
2017.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,124.3
2018.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,118.8
2019.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,122.8
2020.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,110.8
2021.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,112.3
2022.0,SH_DTH_NCOM1,"Per 100,000 population",<65Y,Both sexes or no breakdown by sex,105.5
2013.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,149.2
2014.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,152.4
2015.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,159.9
2016.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,156.8
2017.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,153.9
2018.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,152.1
2019.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,157.5
2020.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,141.3
2021.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,141.7
2022.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Male,134.2
2013.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,91.2
2014.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,86.5
2015.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,92.9
2016.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,90.3
2017.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,96.9
2018.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,87.7
2019.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,90.4
2020.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,82.1
2021.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,84.8
2022.0,SH_DTH_NCOM2,"Per 100,000 population",<65Y,Female,78.6
,,,,,
,,,,,
