Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2013.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,8.1
2014.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,6.9
2015.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,8.7
2016.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,8.4
2017.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,9.1
2018.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,9.3
2019.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,10.3
2020.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,7.8
2021.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,6.7
2022.0,Under-five deaths (number),"Per 1,000 live births",under 5 years old,Both sexes or no breakdown by sex,7.1
,,,,,
