Year,SERIES,UNIT_MEASURE,Sex,Value
2013.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,5.4
2014.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,5.6
2015.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,5.0
2016.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,5.9
2017.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,4.7
2018.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,5.0
2019.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,4.7
2020.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,4.3
2021.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,4.1
2022.0,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,3.0
,,,,
