Year,SERIES,UNIT_MEASURE,Value
2013.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,308.1
2014.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,571.6
2015.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,812.7
2016.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,1093.1
2017.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,1229.1
2018.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,1224.3
2019.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,1058.9
2020.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,1093.7
2021.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,958.6
2022.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,1179.5
,,,
