Year,SERIES,UNIT_MEASURE,Sex,Value
2013.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,21.0
2014.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,20.0
2015.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,26.0
2016.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,25.0
2017.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,24.0
2018.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,19.0
2019.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,22.0
2020.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,27.0
2021.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,17.0
2022.0,Number of victims of intentional homicide,"Per 100,000 population",Both sexes or no breakdown by sex,15.0
2013.0,Number of victims of intentional homicide,"Per 100,000 population",Male,14.0
2014.0,Number of victims of intentional homicide,"Per 100,000 population",Male,15.0
2015.0,Number of victims of intentional homicide,"Per 100,000 population",Male,19.0
2016.0,Number of victims of intentional homicide,"Per 100,000 population",Male,19.0
2017.0,Number of victims of intentional homicide,"Per 100,000 population",Male,20.0
2018.0,Number of victims of intentional homicide,"Per 100,000 population",Male,13.0
2019.0,Number of victims of intentional homicide,"Per 100,000 population",Male,13.0
2020.0,Number of victims of intentional homicide,"Per 100,000 population",Male,21.0
2021.0,Number of victims of intentional homicide,"Per 100,000 population",Male,12.0
2022.0,Number of victims of intentional homicide,"Per 100,000 population",Male,6.0
2013.0,Number of victims of intentional homicide,"Per 100,000 population",Female,7.0
2014.0,Number of victims of intentional homicide,"Per 100,000 population",Female,5.0
2015.0,Number of victims of intentional homicide,"Per 100,000 population",Female,7.0
2016.0,Number of victims of intentional homicide,"Per 100,000 population",Female,6.0
2017.0,Number of victims of intentional homicide,"Per 100,000 population",Female,4.0
2018.0,Number of victims of intentional homicide,"Per 100,000 population",Female,6.0
2019.0,Number of victims of intentional homicide,"Per 100,000 population",Female,9.0
2020.0,Number of victims of intentional homicide,"Per 100,000 population",Female,6.0
2021.0,Number of victims of intentional homicide,"Per 100,000 population",Female,5.0
2022.0,Number of victims of intentional homicide,"Per 100,000 population",Female,9.0
2013.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,0.9
2014.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,0.9
2015.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,1.2
2016.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,1.1
2017.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,1.1
2018.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,0.9
2019.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,1.0
2020.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,1.2
2021.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,0.8
2022.0,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",Both sexes or no breakdown by sex,0.7
,,,,
,,,,
,,,,
