Year,SERIES,UNIT_MEASURE,Value
2013.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.3
2014.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.8
2015.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.6
2016.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.2
2017.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.8
2018.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.9
2019.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.7
2020.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.8
2021.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.4
2022.0,Prevalence of hepatitis B surface antigen (HBsAg),"Per 100,000 population",0.4
,,,
