Year,SERIES,UNIT_MEASURE,Sex,Value
2013,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.1
2014,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.0
2015,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.0
2016,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.0
2017,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.0
2018,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.1
2019,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.1
2020,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.0
2021,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.0
2022,"Number of new HIV infections per 1,000 uninfected population","Per 1,000 uninfected population",Both sexes or no breakdown by sex,0.2
