Year,SERIES,UNIT_MEASURE,Sex,Value
2013.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,7.31
2014.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,8.04
2015.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,8.62
2016.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,9.7
2017.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,10.49
2018.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,11.24
2019.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,12.39
2020.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,12.01
2021.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,14.33
2022.0,SE_PRE_PARTN0_6,Percent,Both sexes or no breakdown by sex,17.87
2013.0,SE_PRE_PARTN0_6,Percent,Male,7.5
2014.0,SE_PRE_PARTN0_6,Percent,Male,8.15
2015.0,SE_PRE_PARTN0_6,Percent,Male,8.74
2016.0,SE_PRE_PARTN0_6,Percent,Male,9.98
2017.0,SE_PRE_PARTN0_6,Percent,Male,10.62
2018.0,SE_PRE_PARTN0_6,Percent,Male,11.37
2019.0,SE_PRE_PARTN0_6,Percent,Male,12.48
2020.0,SE_PRE_PARTN0_6,Percent,Male,12.23
2021.0,SE_PRE_PARTN0_6,Percent,Male,14.43
2022.0,SE_PRE_PARTN0_6,Percent,Male,18.29
2013.0,SE_PRE_PARTN0_6,Percent,Female,7.11
2014.0,SE_PRE_PARTN0_6,Percent,Female,7.93
2015.0,SE_PRE_PARTN0_6,Percent,Female,8.49
2016.0,SE_PRE_PARTN0_6,Percent,Female,9.4
2017.0,SE_PRE_PARTN0_6,Percent,Female,10.35
2018.0,SE_PRE_PARTN0_6,Percent,Female,11.1
2019.0,SE_PRE_PARTN0_6,Percent,Female,12.3
2020.0,SE_PRE_PARTN0_6,Percent,Female,11.78
2021.0,SE_PRE_PARTN0_6,Percent,Female,14.23
2022.0,SE_PRE_PARTN0_6,Percent,Female,17.43
2013.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,13.71
2014.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,14.33
2015.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,15.4
2016.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,16.95
2017.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,18.24
2018.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,19.69
2019.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,21.66
2020.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,21.16
2021.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,24.29
2022.0,SE_PRE_PARTN3_6,Percent,Both sexes or no breakdown by sex,22.55
2013.0,SE_PRE_PARTN3_6,Percent,Male,14.11
2014.0,SE_PRE_PARTN3_6,Percent,Male,14.61
2015.0,SE_PRE_PARTN3_6,Percent,Male,15.54
2016.0,SE_PRE_PARTN3_6,Percent,Male,17.38
2017.0,SE_PRE_PARTN3_6,Percent,Male,18.5
2018.0,SE_PRE_PARTN3_6,Percent,Male,19.89
2019.0,SE_PRE_PARTN3_6,Percent,Male,21.89
2020.0,SE_PRE_PARTN3_6,Percent,Male,21.62
2021.0,SE_PRE_PARTN3_6,Percent,Male,24.4
2022.0,SE_PRE_PARTN3_6,Percent,Male,23.0
2013.0,SE_PRE_PARTN3_6,Percent,Female,13.29
2014.0,SE_PRE_PARTN3_6,Percent,Female,14.03
2015.0,SE_PRE_PARTN3_6,Percent,Female,15.26
2016.0,SE_PRE_PARTN3_6,Percent,Female,16.48
2017.0,SE_PRE_PARTN3_6,Percent,Female,17.98
2018.0,SE_PRE_PARTN3_6,Percent,Female,19.47
2019.0,SE_PRE_PARTN3_6,Percent,Female,21.43
2020.0,SE_PRE_PARTN3_6,Percent,Female,20.67
2021.0,SE_PRE_PARTN3_6,Percent,Female,24.17
2022.0,SE_PRE_PARTN3_6,Percent,Female,22.08
,,,,
