Year,SERIES,UNIT_MEASURE,Sex,Value
2013.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,7.8
2014.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,7.6
2015.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,7.7
2016.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,8.1
2017.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,9.2
2018.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,9.0
2019.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,7.5
2020.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,7.0
2021.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,8.2
2022.0,Suicide mortality rate,"Per 100,000 population",Both sexes or no breakdown by sex,7.0
2013.0,Suicide mortality rate,"Per 100,000 population",Male,11.9
2014.0,Suicide mortality rate,"Per 100,000 population",Male,11.4
2015.0,Suicide mortality rate,"Per 100,000 population",Male,11.6
2016.0,Suicide mortality rate,"Per 100,000 population",Male,11.5
2017.0,Suicide mortality rate,"Per 100,000 population",Male,13.7
2018.0,Suicide mortality rate,"Per 100,000 population",Male,13.6
2019.0,Suicide mortality rate,"Per 100,000 population",Male,11.2
2020.0,Suicide mortality rate,"Per 100,000 population",Male,11.3
2021.0,Suicide mortality rate,"Per 100,000 population",Male,13.1
2022.0,Suicide mortality rate,"Per 100,000 population",Male,11.3
2013.0,Suicide mortality rate,"Per 100,000 population",Female,3.8
2014.0,Suicide mortality rate,"Per 100,000 population",Female,3.9
2015.0,Suicide mortality rate,"Per 100,000 population",Female,3.9
2016.0,Suicide mortality rate,"Per 100,000 population",Female,4.9
2017.0,Suicide mortality rate,"Per 100,000 population",Female,4.8
2018.0,Suicide mortality rate,"Per 100,000 population",Female,4.5
2019.0,Suicide mortality rate,"Per 100,000 population",Female,3.9
2020.0,Suicide mortality rate,"Per 100,000 population",Female,3.0
2021.0,Suicide mortality rate,"Per 100,000 population",Female,3.4
2022.0,Suicide mortality rate,"Per 100,000 population",Female,2.8
,,,,
