Year,Value,UNIT_MEASURE,SERIES
2013,4.9,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2014,5.0,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2015,4.9,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2016,5.1,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2017,4.9,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2018,4.8,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2019,4.7,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2020,4.7,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2021,4.6,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2022,5.1,Postotak,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene
2013,2.6,Postotak,SI_COV_NOEMP
2014,2.5,Postotak,SI_COV_NOEMP
2015,2.7,Postotak,SI_COV_NOEMP
2016,2.9,Postotak,SI_COV_NOEMP
2017,3.2,Postotak,SI_COV_NOEMP
2018,3.1,Postotak,SI_COV_NOEMP
2019,3.6,Postotak,SI_COV_NOEMP
2020,4.3,Postotak,SI_COV_NOEMP
2021,3.3,Postotak,SI_COV_NOEMP
2022,3.6,Postotak,SI_COV_NOEMP
2023,4.5,Postotak,SI_COV_NOEMP
