Year,Value,UNIT_MEASURE,SERIES
2013.0,4.2,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2014.0,3.7,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2015.0,4.3,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2016.0,3.1,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2017.0,2.3,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2018.0,2.2,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2019.0,2.4,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2020.0,1.7,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2021.0,1.0,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
2022.0,1.4,Na 100 000 stanovnika,Učestalost tuberkuloze (na 100.000 stanovnika)
,,,
