Year,Value,UNIT_MEASURE,SERIES
2013,99.99,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2014,99.99,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2015,99.97,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2016,99.97,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2017,99.96,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2018,99.94,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2019,99.95,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2020,99.95,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2021,99.95,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
2022,99.95,Postotak,Udio poroda uz prisustvo kvalificiranog zdravstvenih radnika
