Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2020.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,23.7
2021.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,20.8
2022.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,18.6
2020.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Muškarci,15 do 24 godine,21.8
2021.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Muškarci,15 do 24 godine,19.6
2022.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Muškarci,15 do 24 godine,17.8
2020.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Žene,15 do 24 godine,25.6
2021.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Žene,15 do 24 godine,22.0
2022.0,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom - 13. ICLS (%)",Postotak,Žene,15 do 24 godine,19.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
