Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2013.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,119.0
2014.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,118.1
2015.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,125.2
2016.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,122.3
2017.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,124.3
2018.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,118.8
2019.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,122.8
2020.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,110.8
2021.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,112.3
2022.0,SH_DTH_NCOM1,Na 100 000 stanovnika,<65Y,Oba spola ili bez podjele po spolu,105.5
2013.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,149.2
2014.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,152.4
2015.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,159.9
2016.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,156.8
2017.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,153.9
2018.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,152.1
2019.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,157.5
2020.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,141.3
2021.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,141.7
2022.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Muškarci,134.2
2013.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,91.2
2014.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,86.5
2015.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,92.9
2016.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,90.3
2017.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,96.9
2018.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,87.7
2019.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,90.4
2020.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,82.1
2021.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,84.8
2022.0,SH_DTH_NCOM2,Na 100 000 stanovnika,<65Y,Žene,78.6
,,,,,
,,,,,
