Year,SERIES,UNIT_MEASURE,Spol,Value
2013.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,21.0
2014.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,20.0
2015.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,26.0
2016.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,25.0
2017.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,24.0
2018.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,19.0
2019.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,22.0
2020.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,27.0
2021.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,17.0
2022.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,15.0
2013.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,14.0
2014.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,15.0
2015.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,19.0
2016.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,19.0
2017.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,20.0
2018.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,13.0
2019.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,13.0
2020.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,21.0
2021.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,12.0
2022.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Muškarci,6.0
2013.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,14.0
2014.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,15.0
2015.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,19.0
2016.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,19.0
2017.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,20.0
2018.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,13.0
2019.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,13.0
2020.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,21.0
2021.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,12.0
2022.0,Broj žrtava ubojstava s predomišljajem,Na 100 000 stanovnika,Žene,6.0
2013.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.9
2014.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.9
2015.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,1.2
2016.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,1.1
2017.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,1.1
2018.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.9
2019.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,1.0
2020.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,1.2
2021.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.8
2022.0,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.7
,,,,
,,,,
,,,,
