Year,SERIES,UNIT_MEASURE,Spol,Value
2013.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.41
2014.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.36
2015.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.36
2016.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.14
2017.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.41
2018.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.27
2019.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.09
2020.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.37
2021.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.51
2022.0,Stopa smrtnosti uzrokovana nenamjernim trovanjem,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,0.14
,,,,
,,,,
