Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2013.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.08
2014.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.06
2015.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.06
2016.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.07
2017.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.13
2018.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.09
2019.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.02
2020.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.09
2021.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.04
2022.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.09
2013.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,12.03
2014.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,11.78
2015.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,12.7
2016.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,12.88
2017.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,11.39
2018.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,10.53
2019.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,9.87
2020.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,9.2
2021.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,9.14
2022.0,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,8.23
,,,,,
